date_time,date,time,air_temperature_oC,relative_humidity_percent,solar_radiation_kj.m2,rainfall_mm,windspeed_m.s
2009-10-02T00:00:00Z,2009-10-02,00:00:00,7.5,93.1,0,0,0.4
2009-10-02T01:00:00Z,2009-10-02,01:00:00,7.4,94.1,0.36,0,0.5
2009-10-02T02:00:00Z,2009-10-02,02:00:00,6.9,95.2,0.36,0,0.4
2009-10-02T03:00:00Z,2009-10-02,03:00:00,6.4,96.4,0.72,0,0.4
2009-10-02T04:00:00Z,2009-10-02,04:00:00,6.2,96.8,0.72,0,0.5
2009-10-02T05:00:00Z,2009-10-02,05:00:00,5.4,97,1.08,0,0.4
2009-10-02T06:00:00Z,2009-10-02,06:00:00,5.1,97.3,3.24,0,0.4
2009-10-02T07:00:00Z,2009-10-02,07:00:00,9.5,96.3,340.2,0,0.4
2009-10-02T08:00:00Z,2009-10-02,08:00:00,13.2,87.5,1105.92,0,0.6
2009-10-02T09:00:00Z,2009-10-02,09:00:00,17.4,68.7,1861.2,0,0.9
2009-10-02T10:00:00Z,2009-10-02,10:00:00,19.9,58,2519.64,0,1.3
2009-10-02T11:00:00Z,2009-10-02,11:00:00,18.5,61.2,3001.32,0,2
2009-10-02T12:00:00Z,2009-10-02,12:00:00,18.8,63.2,3296.52,0,2.2
2009-10-02T13:00:00Z,2009-10-02,13:00:00,20,65,3312.72,0,2.3
2009-10-02T14:00:00Z,2009-10-02,14:00:00,20,66.1,3180.6,0,2.3
2009-10-02T15:00:00Z,2009-10-02,15:00:00,20.1,55.4,2727.72,0,2.5
2009-10-02T16:00:00Z,2009-10-02,16:00:00,18.2,61.9,1828.08,0,2.2
2009-10-02T17:00:00Z,2009-10-02,17:00:00,17.8,70.9,668.88,0,2.1
2009-10-02T18:00:00Z,2009-10-02,18:00:00,16.9,73.7,264.6,0,1.9
2009-10-02T19:00:00Z,2009-10-02,19:00:00,16,76.9,12.24,0,1.4
2009-10-02T20:00:00Z,2009-10-02,20:00:00,16.1,75.5,0,0,1.5
2009-10-02T21:00:00Z,2009-10-02,21:00:00,15.2,80.1,0.36,0,1
2009-10-02T22:00:00Z,2009-10-02,22:00:00,14,86,0.36,0,0.5
2009-10-02T23:00:00Z,2009-10-02,23:00:00,13.5,84.3,-0.36,0,0.6
2009-10-03T00:00:00Z,2009-10-03,00:00:00,15.1,81.2,0.36,0,0.6
2009-10-03T01:00:00Z,2009-10-03,01:00:00,15.9,77.3,0.36,0,0.9
2009-10-03T02:00:00Z,2009-10-03,02:00:00,14.8,86,0,0,0.8
2009-10-03T03:00:00Z,2009-10-03,03:00:00,14.5,92.8,0,3.6,1.4
2009-10-03T04:00:00Z,2009-10-03,04:00:00,13.7,93.5,0,0.2,1.2
2009-10-03T05:00:00Z,2009-10-03,05:00:00,13,94.2,0.36,0,1
2009-10-03T06:00:00Z,2009-10-03,06:00:00,12.3,93.4,3.96,0,1.3
2009-10-03T07:00:00Z,2009-10-03,07:00:00,12.3,90.3,196.2,0,1.6
2009-10-03T08:00:00Z,2009-10-03,08:00:00,14.3,76.9,882.72,0,1.9
2009-10-03T09:00:00Z,2009-10-03,09:00:00,15.8,66.8,1382.76,0,1.8
2009-10-03T10:00:00Z,2009-10-03,10:00:00,17.8,56.7,2345.04,0,2
2009-10-03T11:00:00Z,2009-10-03,11:00:00,18.1,56.4,3054.6,0,2.2
2009-10-03T12:00:00Z,2009-10-03,12:00:00,18.1,56.6,2914.92,0,2.1
2009-10-03T13:00:00Z,2009-10-03,13:00:00,18.1,52.5,3147.12,0,2.6
2009-10-03T14:00:00Z,2009-10-03,14:00:00,18.2,53.1,3122.28,0,2.8
2009-10-03T15:00:00Z,2009-10-03,15:00:00,18.1,47.5,2531.52,0,2.8
2009-10-03T16:00:00Z,2009-10-03,16:00:00,18,47.8,2003.4,0,2.5
2009-10-03T17:00:00Z,2009-10-03,17:00:00,16.7,49.4,1306.8,0,2.7
2009-10-03T18:00:00Z,2009-10-03,18:00:00,14.5,63.4,461.16,0,2.6
2009-10-03T19:00:00Z,2009-10-03,19:00:00,13.4,66.1,22.32,0,1.6
2009-10-03T20:00:00Z,2009-10-03,20:00:00,12.2,73.6,0,0,0.8
2009-10-03T21:00:00Z,2009-10-03,21:00:00,11.2,79.6,0,0,0.9
2009-10-03T22:00:00Z,2009-10-03,22:00:00,9.1,86.7,-0.36,0,0.5
2009-10-03T23:00:00Z,2009-10-03,23:00:00,7.8,90.4,0.36,0,0.5
2009-10-04T00:00:00Z,2009-10-04,00:00:00,8.9,86.7,0.36,0,0.7
2009-10-04T01:00:00Z,2009-10-04,01:00:00,8.5,88.1,0,0,0.6
2009-10-04T02:00:00Z,2009-10-04,02:00:00,7.9,91.4,0.72,0,0.4
2009-10-04T03:00:00Z,2009-10-04,03:00:00,7.8,91.3,0.36,0,0.5
2009-10-04T04:00:00Z,2009-10-04,04:00:00,7.4,93.2,0.36,0,0.5
2009-10-04T05:00:00Z,2009-10-04,05:00:00,7.7,92.8,0.72,0,0.8
2009-10-04T06:00:00Z,2009-10-04,06:00:00,7.7,93,5.76,0,0.7
2009-10-04T07:00:00Z,2009-10-04,07:00:00,10,89,218.16,0,0.7
2009-10-04T08:00:00Z,2009-10-04,08:00:00,13.1,73.8,1082.88,0,1.8
2009-10-04T09:00:00Z,2009-10-04,09:00:00,14.8,64.5,1926.72,0,2.1
2009-10-04T10:00:00Z,2009-10-04,10:00:00,16.3,61.9,2521.44,0,1.6
2009-10-04T11:00:00Z,2009-10-04,11:00:00,18.5,53.2,2889.72,0,1.3
2009-10-04T12:00:00Z,2009-10-04,12:00:00,18.4,61.3,2897.28,0,2.1
2009-10-04T13:00:00Z,2009-10-04,13:00:00,18.6,58.3,3254.76,0,2.8
2009-10-04T14:00:00Z,2009-10-04,14:00:00,18.5,60.4,2898,0,3.5
2009-10-04T15:00:00Z,2009-10-04,15:00:00,17,57.4,2370.24,0,3.8
2009-10-04T16:00:00Z,2009-10-04,16:00:00,16.4,62.5,1230.12,0,3.5
2009-10-04T17:00:00Z,2009-10-04,17:00:00,15.9,64.3,424.44,0,2.9
2009-10-04T18:00:00Z,2009-10-04,18:00:00,15.5,64.4,138.96,0,2.2
2009-10-04T19:00:00Z,2009-10-04,19:00:00,15.3,65.9,19.44,0,1.7
2009-10-04T20:00:00Z,2009-10-04,20:00:00,14.7,67.9,0,0,1.7
2009-10-04T21:00:00Z,2009-10-04,21:00:00,14.2,72.3,0,0,1.4
2009-10-04T22:00:00Z,2009-10-04,22:00:00,14.3,70.8,0,0,1.3
2009-10-04T23:00:00Z,2009-10-04,23:00:00,13.7,71.6,0,0,1
2009-10-05T00:00:00Z,2009-10-05,00:00:00,12.9,71.4,0,0,1.2
2009-10-05T01:00:00Z,2009-10-05,01:00:00,11.9,76.3,0,0,1
2009-10-05T02:00:00Z,2009-10-05,02:00:00,11.7,78,0.36,0,1.1
2009-10-05T03:00:00Z,2009-10-05,03:00:00,11.9,78.3,0,0,1.6
2009-10-05T04:00:00Z,2009-10-05,04:00:00,11.5,79,0.36,0,2.3
2009-10-05T05:00:00Z,2009-10-05,05:00:00,11,80.7,0.36,0,1.9
2009-10-05T06:00:00Z,2009-10-05,06:00:00,10.8,80.6,4.68,0,1.4
2009-10-05T07:00:00Z,2009-10-05,07:00:00,12.5,74.6,316.08,0,2
2009-10-05T08:00:00Z,2009-10-05,08:00:00,14.8,66.4,1130.76,0,2.5
2009-10-05T09:00:00Z,2009-10-05,09:00:00,16.5,58.6,1933.56,0,2.8
2009-10-05T10:00:00Z,2009-10-05,10:00:00,18.7,53.3,2605.68,0,2.6
2009-10-05T11:00:00Z,2009-10-05,11:00:00,20.6,49.2,3095.64,0,2.3
2009-10-05T12:00:00Z,2009-10-05,12:00:00,22.1,47.2,3357.36,0,1.8
2009-10-05T13:00:00Z,2009-10-05,13:00:00,22.8,43,3384.36,0,2
2009-10-05T14:00:00Z,2009-10-05,14:00:00,20.7,56.6,3158.64,0,2.4
2009-10-05T15:00:00Z,2009-10-05,15:00:00,21,57.5,2699.28,0,3.8
2009-10-05T16:00:00Z,2009-10-05,16:00:00,21.5,57.5,2059.56,0,3.4
2009-10-05T17:00:00Z,2009-10-05,17:00:00,20.5,59.2,1285.92,0,3
2009-10-05T18:00:00Z,2009-10-05,18:00:00,18.1,73.1,464.04,0,2.7
2009-10-05T19:00:00Z,2009-10-05,19:00:00,16.4,80.6,19.8,0,2.2
2009-10-05T20:00:00Z,2009-10-05,20:00:00,15.4,84.4,0.36,0,1.2
2009-10-05T21:00:00Z,2009-10-05,21:00:00,15.7,71.4,0.36,0,1
2009-10-05T22:00:00Z,2009-10-05,22:00:00,15.4,71.4,0,0,1.4
2009-10-05T23:00:00Z,2009-10-05,23:00:00,14.9,71.9,0,0,2.1
2009-10-06T00:00:00Z,2009-10-06,00:00:00,13.9,74.9,0,0,2.4
2009-10-06T01:00:00Z,2009-10-06,01:00:00,13.2,77.1,0,0,2.1
2009-10-06T02:00:00Z,2009-10-06,02:00:00,11.7,81.9,0,0,1.4
2009-10-06T03:00:00Z,2009-10-06,03:00:00,11.7,82.6,0,0,1.2
2009-10-06T04:00:00Z,2009-10-06,04:00:00,9.3,89.5,0,0,0.7
2009-10-06T05:00:00Z,2009-10-06,05:00:00,7.7,92.5,0,0,0.4
2009-10-06T06:00:00Z,2009-10-06,06:00:00,8.4,93.5,9.36,0,0.5
2009-10-06T07:00:00Z,2009-10-06,07:00:00,11.9,88.4,416.52,0,0.9
2009-10-06T08:00:00Z,2009-10-06,08:00:00,15.4,75.4,1173.6,0,1.9
2009-10-06T09:00:00Z,2009-10-06,09:00:00,17.2,69.8,1949.76,0,2.4
2009-10-06T10:00:00Z,2009-10-06,10:00:00,18.8,64.7,2503.08,0,2.1
2009-10-06T11:00:00Z,2009-10-06,11:00:00,20.1,59.3,3126.24,0,1.8
2009-10-06T12:00:00Z,2009-10-06,12:00:00,21.9,53.1,3311.28,0,1.9
2009-10-06T13:00:00Z,2009-10-06,13:00:00,22.3,49.2,3548.16,0,2.1
2009-10-06T14:00:00Z,2009-10-06,14:00:00,23,49,2340,0,2.1
2009-10-06T15:00:00Z,2009-10-06,15:00:00,20.8,60.8,2553.48,0,3
2009-10-06T16:00:00Z,2009-10-06,16:00:00,20.4,62.2,2116.08,0,3.4
2009-10-06T17:00:00Z,2009-10-06,17:00:00,19.9,64.7,1313.64,0,3.1
2009-10-06T18:00:00Z,2009-10-06,18:00:00,18.4,72.7,491.76,0,2.4
2009-10-06T19:00:00Z,2009-10-06,19:00:00,16.7,77.2,21.24,0,1.4
2009-10-06T20:00:00Z,2009-10-06,20:00:00,16,78.2,0.36,0,1.5
2009-10-06T21:00:00Z,2009-10-06,21:00:00,15.1,81.4,0,0,1.3
2009-10-06T22:00:00Z,2009-10-06,22:00:00,14,85.8,0,0,0.8
2009-10-06T23:00:00Z,2009-10-06,23:00:00,12.8,87.6,-0.36,0,0.7
2009-10-07T00:00:00Z,2009-10-07,00:00:00,12.1,88.3,0,0,0.5
2009-10-07T01:00:00Z,2009-10-07,01:00:00,11.8,90,0.72,0,0.5
2009-10-07T02:00:00Z,2009-10-07,02:00:00,11.6,90.6,0,0,0.5
2009-10-07T03:00:00Z,2009-10-07,03:00:00,10.4,92.2,0,0,0.5
2009-10-07T04:00:00Z,2009-10-07,04:00:00,9.2,94.1,0.36,0,0.4
2009-10-07T05:00:00Z,2009-10-07,05:00:00,8.9,94.8,0.36,0,0.4
2009-10-07T06:00:00Z,2009-10-07,06:00:00,9.3,95.4,8.28,0,0.4
2009-10-07T07:00:00Z,2009-10-07,07:00:00,12.8,94.3,433.44,0,0.9
2009-10-07T08:00:00Z,2009-10-07,08:00:00,17.3,75.9,1244.88,0,2.1
2009-10-07T09:00:00Z,2009-10-07,09:00:00,17.5,72.2,1510.2,0,2.2
2009-10-07T10:00:00Z,2009-10-07,10:00:00,18.8,64.4,1663.92,0,2
2009-10-07T11:00:00Z,2009-10-07,11:00:00,20.1,59.3,1749.6,0,2.2
2009-10-07T12:00:00Z,2009-10-07,12:00:00,21.5,56.4,2116.8,0,2.2
2009-10-07T13:00:00Z,2009-10-07,13:00:00,21.9,56.9,2388.24,0,2.7
2009-10-07T14:00:00Z,2009-10-07,14:00:00,21.8,58.1,1648.8,0,2.2
2009-10-07T15:00:00Z,2009-10-07,15:00:00,21.3,55.7,1314.36,0,2
2009-10-07T16:00:00Z,2009-10-07,16:00:00,22.4,53.1,1558.8,0,2
2009-10-07T17:00:00Z,2009-10-07,17:00:00,21.3,58,911.52,0,2.1
2009-10-07T18:00:00Z,2009-10-07,18:00:00,19.9,65.1,298.08,0,2.1
2009-10-07T19:00:00Z,2009-10-07,19:00:00,18.2,71,20.88,0,1.5
2009-10-07T20:00:00Z,2009-10-07,20:00:00,17,73.5,0,0,1.1
2009-10-07T21:00:00Z,2009-10-07,21:00:00,16.4,72.1,0,0,1.1
2009-10-07T22:00:00Z,2009-10-07,22:00:00,16.3,72.1,0.36,0,1.2
2009-10-07T23:00:00Z,2009-10-07,23:00:00,15.8,72.8,0.36,0,1.4
2009-10-08T00:00:00Z,2009-10-08,00:00:00,14,78.3,0.36,0,0.9
2009-10-08T01:00:00Z,2009-10-08,01:00:00,12.5,82.6,0,0,0.5
2009-10-08T02:00:00Z,2009-10-08,02:00:00,10.4,89.2,0,0,0.5
2009-10-08T03:00:00Z,2009-10-08,03:00:00,8.6,92.3,0.36,0,0.4
2009-10-08T04:00:00Z,2009-10-08,04:00:00,7.3,93.8,0,0,0.5
2009-10-08T05:00:00Z,2009-10-08,05:00:00,7.8,94.5,0.36,0,0.4
2009-10-08T06:00:00Z,2009-10-08,06:00:00,7.6,95.1,9.72,0,0.4
2009-10-08T07:00:00Z,2009-10-08,07:00:00,12,93.5,450.36,0,0.5
2009-10-08T08:00:00Z,2009-10-08,08:00:00,16.1,71.4,1234.8,0,1.2
2009-10-08T09:00:00Z,2009-10-08,09:00:00,18.4,67.7,2010.24,0,1.5
2009-10-08T10:00:00Z,2009-10-08,10:00:00,20.5,57.8,2525.76,0,1.5
2009-10-08T11:00:00Z,2009-10-08,11:00:00,18.8,65.8,3140.64,0,2.2
2009-10-08T12:00:00Z,2009-10-08,12:00:00,20.1,63.1,3381.84,0,2.6
2009-10-08T13:00:00Z,2009-10-08,13:00:00,19.9,66.5,3409.92,0,3
2009-10-08T14:00:00Z,2009-10-08,14:00:00,20.4,64.3,3204,0,3.2
2009-10-08T15:00:00Z,2009-10-08,15:00:00,20.6,62.6,2769.12,0,2.9
2009-10-08T16:00:00Z,2009-10-08,16:00:00,19.8,62.2,2118.6,0,3.1
2009-10-08T17:00:00Z,2009-10-08,17:00:00,18.7,68.4,1356.12,0,2.8
2009-10-08T18:00:00Z,2009-10-08,18:00:00,16.9,75.9,528.48,0,2.7
2009-10-08T19:00:00Z,2009-10-08,19:00:00,15.6,80.6,24.12,0,1.9
2009-10-08T20:00:00Z,2009-10-08,20:00:00,14.5,83.7,0,0,1.2
2009-10-08T21:00:00Z,2009-10-08,21:00:00,12.8,88,0,0,0.6
2009-10-08T22:00:00Z,2009-10-08,22:00:00,11.6,91.6,0,0,0.4
2009-10-08T23:00:00Z,2009-10-08,23:00:00,10.6,93,0,0,0.4
2009-10-09T00:00:00Z,2009-10-09,00:00:00,10.1,94.5,0.36,0,0.5
2009-10-09T01:00:00Z,2009-10-09,01:00:00,10.1,94.8,0,0,0.5
2009-10-09T02:00:00Z,2009-10-09,02:00:00,9.1,95.7,0.36,0,0.5
2009-10-09T03:00:00Z,2009-10-09,03:00:00,7.9,96.1,0.36,0,0.5
2009-10-09T04:00:00Z,2009-10-09,04:00:00,7.7,96.5,0.36,0,0.5
2009-10-09T05:00:00Z,2009-10-09,05:00:00,7.2,96.6,0.72,0,0.5
2009-10-09T06:00:00Z,2009-10-09,06:00:00,8.9,96.6,7.2,0,0.5
2009-10-09T07:00:00Z,2009-10-09,07:00:00,12.2,96.2,134.28,0,0.5
2009-10-09T08:00:00Z,2009-10-09,08:00:00,14.4,95,563.04,0,0.8
2009-10-09T09:00:00Z,2009-10-09,09:00:00,17.4,84,1292.04,0,1.1
2009-10-09T10:00:00Z,2009-10-09,10:00:00,18.3,75.4,1285.2,0,1.2
2009-10-09T11:00:00Z,2009-10-09,11:00:00,20.4,63.9,2346.48,0,1.6
2009-10-09T12:00:00Z,2009-10-09,12:00:00,19.9,70.6,3309.48,0,2.4
2009-10-09T13:00:00Z,2009-10-09,13:00:00,20.1,61.4,3388.68,0,2.3
2009-10-09T14:00:00Z,2009-10-09,14:00:00,20,66.3,3190.32,0,2.8
2009-10-09T15:00:00Z,2009-10-09,15:00:00,20,66.5,2727.36,0,2.7
2009-10-09T16:00:00Z,2009-10-09,16:00:00,19.6,70.9,2104.2,0,3
2009-10-09T17:00:00Z,2009-10-09,17:00:00,19,72.1,1400.76,0,2.8
2009-10-09T18:00:00Z,2009-10-09,18:00:00,17.2,79.6,405.36,0,2.3
2009-10-09T19:00:00Z,2009-10-09,19:00:00,16.7,84.4,11.88,0,2.3
2009-10-09T20:00:00Z,2009-10-09,20:00:00,16.1,85,0.36,0,2.4
2009-10-09T21:00:00Z,2009-10-09,21:00:00,15.8,86,0,0,1.4
2009-10-09T22:00:00Z,2009-10-09,22:00:00,16,85,0,0,1.1
2009-10-09T23:00:00Z,2009-10-09,23:00:00,15.6,83.3,0.36,0,1.6
2009-10-10T00:00:00Z,2009-10-10,00:00:00,15.2,84.6,0.36,0,1.1
2009-10-10T01:00:00Z,2009-10-10,01:00:00,15.2,82.9,0,0,1
2009-10-10T02:00:00Z,2009-10-10,02:00:00,15.6,79.2,0,0,1.2
2009-10-10T03:00:00Z,2009-10-10,03:00:00,14.9,79.6,0,0,1.3
2009-10-10T04:00:00Z,2009-10-10,04:00:00,13.7,85.2,0,0,0.7
2009-10-10T05:00:00Z,2009-10-10,05:00:00,12.6,89.3,-0.36,0,0.4
2009-10-10T06:00:00Z,2009-10-10,06:00:00,14.4,83.2,10.8,0,0.9
2009-10-10T07:00:00Z,2009-10-10,07:00:00,15.6,82.2,214.56,0,1
2009-10-10T08:00:00Z,2009-10-10,08:00:00,16.6,73.7,614.52,0,2
2009-10-10T09:00:00Z,2009-10-10,09:00:00,18.5,65.9,1469.88,0,3.1
2009-10-10T10:00:00Z,2009-10-10,10:00:00,17.9,65.9,1954.08,0,3.3
2009-10-10T11:00:00Z,2009-10-10,11:00:00,19,59.5,2956.32,0,3
2009-10-10T12:00:00Z,2009-10-10,12:00:00,19.2,60,3351.6,0,2.9
2009-10-10T13:00:00Z,2009-10-10,13:00:00,16.9,77.5,1750.32,0,3
2009-10-10T14:00:00Z,2009-10-10,14:00:00,16.8,80.8,1889.28,0,2.9
2009-10-10T15:00:00Z,2009-10-10,15:00:00,16.3,84.4,1324.08,0,3
2009-10-10T16:00:00Z,2009-10-10,16:00:00,16.2,72.9,934.56,0,3.9
2009-10-10T17:00:00Z,2009-10-10,17:00:00,16.5,69.3,735.48,0,3.4
2009-10-10T18:00:00Z,2009-10-10,18:00:00,15,69.9,456.12,0,2.9
2009-10-10T19:00:00Z,2009-10-10,19:00:00,14.1,70.2,16.92,0,2.4
2009-10-10T20:00:00Z,2009-10-10,20:00:00,14.1,68.9,0,0,2.1
2009-10-10T21:00:00Z,2009-10-10,21:00:00,13.7,65.7,0,0,2.1
2009-10-10T22:00:00Z,2009-10-10,22:00:00,12.6,65.6,0,0,1.9
2009-10-10T23:00:00Z,2009-10-10,23:00:00,11.9,67.1,0,0,1.4
2009-10-10T23:59:59Z,2009-10-10,23:59:59,12.6,78.4,0.36,0,2.2
2009-10-11T00:59:59Z,2009-10-11,00:59:59,11.1,89.7,0.36,0.6,1.9
2009-10-11T01:59:59Z,2009-10-11,01:59:59,10.6,91.6,0,0.2,0.5
2009-10-11T02:59:59Z,2009-10-11,02:59:59,10.8,73.4,0,0,1.6
2009-10-11T03:59:59Z,2009-10-11,03:59:59,10.9,65.5,0,0,1.7
2009-10-11T04:59:59Z,2009-10-11,04:59:59,10.5,63.3,0,0,1.3
2009-10-11T05:59:59Z,2009-10-11,05:59:59,9.2,71.7,18,0,1.2
2009-10-11T06:59:59Z,2009-10-11,06:59:59,11.3,71.7,488.16,0,1.2
2009-10-11T07:59:59Z,2009-10-11,07:59:59,14,58.8,1314.72,0,1.6
2009-10-11T08:59:59Z,2009-10-11,08:59:59,13.4,63.7,1868.4,0,3.2
2009-10-11T09:59:59Z,2009-10-11,09:59:59,14.9,52.6,1530,0,3
2009-10-11T10:59:59Z,2009-10-11,10:59:59,16.4,50.1,2394.36,0,3.6
2009-10-11T11:59:59Z,2009-10-11,11:59:59,15.6,52.5,2566.08,0,3.9
2009-10-11T12:59:59Z,2009-10-11,12:59:59,16.4,51,2953.8,0,3.9
2009-10-11T13:59:59Z,2009-10-11,13:59:59,16.5,52.7,2729.16,0,4.1
2009-10-11T14:59:59Z,2009-10-11,14:59:59,15.8,50.6,2313.36,0,4.1
2009-10-11T15:59:59Z,2009-10-11,15:59:59,15.2,53.2,1516.68,0,4.1
2009-10-11T16:59:59Z,2009-10-11,16:59:59,14.4,57,593.64,0,3.4
2009-10-11T17:59:59Z,2009-10-11,17:59:59,13.8,56.6,251.64,0,2.7
2009-10-11T18:59:59Z,2009-10-11,18:59:59,13.3,56.3,23.04,0,2.3
2009-10-11T19:59:59Z,2009-10-11,19:59:59,12.5,67,0,0,1.6
2009-10-11T20:59:59Z,2009-10-11,20:59:59,12,71.6,0,0,1.3
2009-10-11T21:59:59Z,2009-10-11,21:59:59,13.1,64.2,0,0,1.2
2009-10-11T22:59:59Z,2009-10-11,22:59:59,12.5,70.2,0,0,1.6
2009-10-11T23:59:59Z,2009-10-11,23:59:59,11.9,72.9,0,0,0.9
2009-10-12T00:59:59Z,2009-10-12,00:59:59,11.4,75.4,0,0,0.8
2009-10-12T01:59:59Z,2009-10-12,01:59:59,10.3,79.9,0,0,0.5
2009-10-12T02:59:59Z,2009-10-12,02:59:59,9.9,79.3,-0.36,0,0.5
2009-10-12T03:59:59Z,2009-10-12,03:59:59,9.8,84.1,0,0,0.4
2009-10-12T04:59:59Z,2009-10-12,04:59:59,9.5,86.3,0,0,0.4
2009-10-12T05:59:59Z,2009-10-12,05:59:59,9.9,85.2,10.44,0,0.5
2009-10-12T06:59:59Z,2009-10-12,06:59:59,11.9,81.6,153.72,0,0.5
2009-10-12T07:59:59Z,2009-10-12,07:59:59,15.1,69.2,919.08,0,1
2009-10-12T08:59:59Z,2009-10-12,08:59:59,16.3,59.9,1558.44,0,2
2009-10-12T09:59:59Z,2009-10-12,09:59:59,16.2,59.7,1329.48,0,2.9
2009-10-12T10:59:59Z,2009-10-12,10:59:59,17.2,53.4,1994.04,0,3.2
2009-10-12T11:59:59Z,2009-10-12,11:59:59,16.6,61.3,2360.52,0,3.3
2009-10-12T12:59:59Z,2009-10-12,12:59:59,16.9,58.4,2784.24,0,3.5
2009-10-12T13:59:59Z,2009-10-12,13:59:59,17.8,59.8,2573.64,0,3.5
2009-10-12T14:59:59Z,2009-10-12,14:59:59,17.4,62.1,1657.8,0,3.4
2009-10-12T15:59:59Z,2009-10-12,15:59:59,16.7,65.4,1585.44,0,3.3
2009-10-12T16:59:59Z,2009-10-12,16:59:59,15.7,69.6,623.16,0,3.1
2009-10-12T17:59:59Z,2009-10-12,17:59:59,15,66.5,311.4,0,2.8
2009-10-12T18:59:59Z,2009-10-12,18:59:59,14.5,74.1,25.56,0,2
2009-10-12T19:59:59Z,2009-10-12,19:59:59,13.6,76.9,0,0,1.5
2009-10-12T20:59:59Z,2009-10-12,20:59:59,12,80.7,0,0,1
2009-10-12T21:59:59Z,2009-10-12,21:59:59,11.7,84.9,0.36,0,0.5
2009-10-12T22:59:59Z,2009-10-12,22:59:59,11.8,84.6,0.36,0,0.4
2009-10-12T23:59:59Z,2009-10-12,23:59:59,12.2,85.2,0,0,0.5
2009-10-13T00:59:59Z,2009-10-13,00:59:59,12.5,84.5,0.36,0,0.5
2009-10-13T01:59:59Z,2009-10-13,01:59:59,12.5,82.2,0.36,0,0.6
2009-10-13T02:59:59Z,2009-10-13,02:59:59,12.4,83,0,0,0.5
2009-10-13T03:59:59Z,2009-10-13,03:59:59,12.3,84.1,0.36,0,0.5
2009-10-13T04:59:59Z,2009-10-13,04:59:59,12.2,84.4,0.36,0,0.5
2009-10-13T05:59:59Z,2009-10-13,05:59:59,12.6,82.1,10.08,0,0.6
2009-10-13T06:59:59Z,2009-10-13,06:59:59,13.4,79,190.08,0,1.1
2009-10-13T07:59:59Z,2009-10-13,07:59:59,14,73.3,700.56,0,1.4
2009-10-13T08:59:59Z,2009-10-13,08:59:59,16.2,69.7,1366.56,0,2
2009-10-13T09:59:59Z,2009-10-13,09:59:59,16.2,65.4,1151.64,0,1.9
2009-10-13T10:59:59Z,2009-10-13,10:59:59,16.8,58.8,1244.52,0,1.6
2009-10-13T11:59:59Z,2009-10-13,11:59:59,18.1,54.2,2741.04,0,2.1
2009-10-13T12:59:59Z,2009-10-13,12:59:59,18.5,56,3434.76,0,2.8
2009-10-13T13:59:59Z,2009-10-13,13:59:59,17.7,56.3,3278.88,0,3.4
2009-10-13T14:59:59Z,2009-10-13,14:59:59,17.7,57.1,2824.56,0,3.6
2009-10-13T15:59:59Z,2009-10-13,15:59:59,17.5,58,2180.88,0,4.1
2009-10-13T16:59:59Z,2009-10-13,16:59:59,16.6,63.9,1406.16,0,3.4
2009-10-13T17:59:59Z,2009-10-13,17:59:59,15.5,71.3,560.52,0,3
2009-10-13T18:59:59Z,2009-10-13,18:59:59,14.5,76.3,32.4,0,2.5
2009-10-13T19:59:59Z,2009-10-13,19:59:59,13.7,79,0.36,0,1.8
2009-10-13T20:59:59Z,2009-10-13,20:59:59,12.9,83.5,0.36,0,1.2
2009-10-13T21:59:59Z,2009-10-13,21:59:59,11.2,88.6,0.36,0,0.5
2009-10-13T22:59:59Z,2009-10-13,22:59:59,11.8,87.4,0,0,0.8
2009-10-13T23:59:59Z,2009-10-13,23:59:59,12.3,78,0.36,0,2.1
2009-10-14T00:59:59Z,2009-10-14,00:59:59,11.1,80.8,0,0,2
2009-10-14T01:59:59Z,2009-10-14,01:59:59,10.4,85.7,0,0,1.4
2009-10-14T02:59:59Z,2009-10-14,02:59:59,9.6,88.2,0,0,1.2
2009-10-14T03:59:59Z,2009-10-14,03:59:59,8.8,89.4,0,0,1.2
2009-10-14T04:59:59Z,2009-10-14,04:59:59,8.5,90.6,0.36,0,0.7
2009-10-14T05:59:59Z,2009-10-14,05:59:59,8,91.5,19.08,0,0.5
2009-10-14T06:59:59Z,2009-10-14,06:59:59,12.1,76.7,539.28,0,0.8
2009-10-14T07:59:59Z,2009-10-14,07:59:59,14.2,68.5,1019.52,0,2
2009-10-14T08:59:59Z,2009-10-14,08:59:59,16.7,62,1319.76,0,2
2009-10-14T09:59:59Z,2009-10-14,09:59:59,17.3,59.3,2039.04,0,2.2
2009-10-14T10:59:59Z,2009-10-14,10:59:59,18.9,53.5,3233.52,0,2.1
2009-10-14T11:59:59Z,2009-10-14,11:59:59,20.9,49,3575.88,0,1.8
2009-10-14T12:59:59Z,2009-10-14,12:59:59,22.2,48.1,3521.88,0,2
2009-10-14T13:59:59Z,2009-10-14,13:59:59,23.4,41.8,3291.12,0,2
2009-10-14T14:59:59Z,2009-10-14,14:59:59,19.9,58.2,2829.96,0,3.5
2009-10-14T15:59:59Z,2009-10-14,15:59:59,19.8,61.6,2174.76,0,3.7
2009-10-14T16:59:59Z,2009-10-14,16:59:59,19,65.5,1352.88,0,3.4
2009-10-14T17:59:59Z,2009-10-14,17:59:59,17.5,72,466.2,0,2.8
